,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
41,Deepspeech,0.0,0.192292453971,0.309730100126,41,FlexiBO+RF-Ratio,0.0415506655522,31.2,41.0,0.418112855209
42,Deepspeech,0.0,0.250493377317,0.341451405496,42,FlexiBO+RF-Ratio,0.02454121683,31.2,42.0,0.416369518297
43,Deepspeech,0.0,0.238431069511,0.328346617703,43,FlexiBO+RF-Ratio,0.0101626643877,31.2,43.0,0.416369518297
44,Deepspeech,0.0,0.257266805042,0.390007815644,44,FlexiBO+RF-Ratio,0.0295663829326,31.2,44.0,0.416369518297
45,Deepspeech,0.0,0.285369778225,0.311645416064,45,FlexiBO+RF-Ratio,0.0237545361556,31.2,45.0,0.416369518297
46,Deepspeech,0.0,0.199401790128,0.284796318109,46,FlexiBO+RF-Ratio,0.00288447343631,31.2,46.0,0.416369518297
47,Deepspeech,5.2,0.229027432387,0.312938865911,47,FlexiBO+RF-Ratio,0.0144590851037,36.4,47.0,0.415914903281
48,Deepspeech,0.0,0.353321201175,0.303135916503,48,FlexiBO+RF-Ratio,0.0470918708158,36.4,48.0,0.415914903281
49,Deepspeech,5.2,0.264339513746,0.375457714792,49,FlexiBO+RF-Ratio,0.0182427723149,41.6,49.0,0.415914903281
50,Deepspeech,0.0,0.260786127669,0.32614275402,50,FlexiBO+RF-Ratio,0.048790645595,41.6,50.0,0.415914903281
51,Deepspeech,5.2,0.316955162188,0.325243666323,51,FlexiBO+RF-Ratio,0.0130384376022,46.8,51.0,0.415914903281
52,Deepspeech,0.0,0.237817888163,0.338307325081,52,FlexiBO+RF-Ratio,0.0186952363164,46.8,52.0,0.415914903281
53,Deepspeech,0.0,0.208209355286,0.291731874463,53,FlexiBO+RF-Ratio,0.0439915985891,46.8,53.0,0.415914903281
54,Deepspeech,0.0,0.243135307871,0.379087975445,54,FlexiBO+RF-Ratio,0.0154469601926,46.8,54.0,0.415914903281
55,Deepspeech,0.0,0.296388237015,0.368357823711,55,FlexiBO+RF-Ratio,0.0393843477653,46.8,55.0,0.415914903281
56,Deepspeech,0.0,0.241288711511,0.330772512186,56,FlexiBO+RF-Ratio,0.0420175742943,46.8,56.0,0.415914903281
57,Deepspeech,0.0,0.216576432346,0.339869862163,57,FlexiBO+RF-Ratio,0.00406576077648,46.8,57.0,0.415914903281
58,Deepspeech,5.2,0.239033828058,0.401859800992,58,FlexiBO+RF-Ratio,0.0179557562913,52.0,58.0,0.415914903281
59,Deepspeech,5.2,0.221234263955,0.300730261676,59,FlexiBO+RF-Ratio,0.0272125541852,57.2,59.0,0.415914903281
60,Deepspeech,0.0,0.370793481126,0.346292410282,60,FlexiBO+RF-Ratio,0.00533155575211,57.2,60.0,0.415914903281
61,Deepspeech,0.0,0.219889424187,0.279018946856,61,FlexiBO+RF-Ratio,0.0116980837779,57.2,61.0,0.415914903281
62,Deepspeech,5.2,0.232700864344,0.346635546969,62,FlexiBO+RF-Ratio,0.0441801870194,62.4,62.0,0.415728754356
63,Deepspeech,5.2,0.230139927239,0.363582204769,63,FlexiBO+RF-Ratio,0.0162905324189,67.6,63.0,0.415728754356
64,Deepspeech,5.2,0.297594419616,0.315236350248,64,FlexiBO+RF-Ratio,0.0416207066908,72.8,64.0,0.415728754356
65,Deepspeech,0.0,0.230047884724,0.313869972235,65,FlexiBO+RF-Ratio,0.0211286146689,72.8,65.0,0.415728754356
66,Deepspeech,0.0,0.283133273267,0.299910378753,66,FlexiBO+RF-Ratio,0.0395260154964,72.8,66.0,0.415728754356
67,Deepspeech,0.0,0.253269883982,0.447762250994,67,FlexiBO+RF-Ratio,0.0264315593127,72.8,67.0,0.415728754356
68,Deepspeech,0.0,0.317622262208,0.291265183708,68,FlexiBO+RF-Ratio,0.0119695756022,72.8,68.0,0.415728754356
69,Deepspeech,0.0,0.261067029207,0.281797081651,69,FlexiBO+RF-Ratio,0.0260729944863,72.8,69.0,0.415728754356
70,Deepspeech,0.0,0.248236024321,0.273993358386,70,FlexiBO+RF-Ratio,0.0361064469205,72.8,70.0,0.415728754356
71,Deepspeech,0.0,0.220699591642,0.385747541605,71,FlexiBO+RF-Ratio,0.0383327481839,72.8,71.0,0.414194578175
72,Deepspeech,0.0,0.212942376383,0.26644551594,72,FlexiBO+RF-Ratio,0.0438051487244,72.8,72.0,0.414194578175
73,Deepspeech,0.0,0.309340724479,0.320701064379,73,FlexiBO+RF-Ratio,0.0483968131479,72.8,73.0,0.408036484212
74,Deepspeech,0.0,0.245974130637,0.392888505308,74,FlexiBO+RF-Ratio,0.0132840940833,72.8,74.0,0.408036484212
75,Deepspeech,0.0,0.245030601707,0.336312396504,75,FlexiBO+RF-Ratio,0.0474978114326,72.8,75.0,0.408036484212
76,Deepspeech,0.0,0.261753262297,0.248462868961,76,FlexiBO+RF-Ratio,0.0449792825999,72.8,76.0,0.408036484212
77,Deepspeech,0.0,0.234431593317,0.329973775512,77,FlexiBO+RF-Ratio,0.0467372618519,72.8,77.0,0.394760853744
78,Deepspeech,0.0,0.206116825933,0.378326799312,78,FlexiBO+RF-Ratio,0.011490256696,72.8,78.0,0.394760853744
79,Deepspeech,0.0,0.210271814965,0.314461995514,79,FlexiBO+RF-Ratio,0.00758101297556,72.8,79.0,0.394760853744
80,Deepspeech,0.0,0.279128437846,0.393390565448,80,FlexiBO+RF-Ratio,0.0128256296049,72.8,80.0,0.394760853744
81,Deepspeech,0.0,0.354732650392,0.299498371689,81,FlexiBO+RF-Ratio,0.0370756004918,72.8,81.0,0.394760853744
