,Energy,Error,Method,Architecture
33,0.242835351689951,0.251014119105261,SMSEGO,DeepSpeech
34,0.235024062001818,0.257607410563482,SMSEGO,DeepSpeech
35,0.210757691230456,0.301925201482658,SMSEGO,DeepSpeech
36,0.204700435313021,0.303735695515655,SMSEGO,DeepSpeech
37,0.195514168092134,0.304433533544434,SMSEGO,DeepSpeech
38,0.170938107833377,0.305102410662297,SMSEGO,DeepSpeech
39,0.161434475801449,0.305355671419323,SMSEGO,DeepSpeech
40,0.14737088077827,0.313353706661907,SMSEGO,DeepSpeech
41,0.264954376012967,0.17794205836907,Log-FlexiBO+GP,DeepSpeech
42,0.259008567221605,0.199450938792112,Log-FlexiBO+GP,DeepSpeech
43,0.218932113520251,0.200618467863313,Log-FlexiBO+GP,DeepSpeech
44,0.216087380182406,0.210418364945406,Log-FlexiBO+GP,DeepSpeech
45,0.206400500001539,0.212951231872094,Log-FlexiBO+GP,DeepSpeech
46,0.193595106108371,0.214036428140647,Log-FlexiBO+GP,DeepSpeech
47,0.182821975175036,0.215225776149751,Log-FlexiBO+GP,DeepSpeech
48,0.170372502102462,0.220631367513528,Log-FlexiBO+GP,DeepSpeech
49,0.145893684106069,0.225803313748955,Log-FlexiBO+GP,DeepSpeech
50,0.138387093924829,0.22822010318616,Log-FlexiBO+GP,DeepSpeech
51,0.088394132935615,0.273305905613444,Log-FlexiBO+GP,DeepSpeech
52,0.280094268617904,0.219945521025695,Log-FlexiBO+RF,DeepSpeech
53,0.209647267013561,0.227193600115412,Log-FlexiBO+RF,DeepSpeech
54,0.130269719658206,0.272862283135826,Log-FlexiBO+RF,DeepSpeech
74,0.251255396432865,0.19661764285319,FlexiBO+GP-No Cost,DeepSpeech
75,0.240527630481247,0.232996704072257,FlexiBO+GP-No Cost,DeepSpeech
76,0.217272970584866,0.236566877729479,FlexiBO+GP-No Cost,DeepSpeech
77,0.21584093975667,0.247655578838346,FlexiBO+GP-No Cost,DeepSpeech
78,0.214309735632824,0.248612018699328,FlexiBO+GP-No Cost,DeepSpeech
79,0.198005477307272,0.250583838110649,FlexiBO+GP-No Cost,DeepSpeech
80,0.184220768424407,0.250876834214596,FlexiBO+GP-No Cost,DeepSpeech
81,0.16233117063063,0.251032381650684,FlexiBO+GP-No Cost,DeepSpeech
82,0.155940869069235,0.281225860657071,FlexiBO+GP-No Cost,DeepSpeech
83,0.154132037298913,0.299542968474063,FlexiBO+GP-No Cost,DeepSpeech
84,0.14943768445536,0.320825931610242,FlexiBO+GP-No Cost,DeepSpeech
85,0.268017149906006,0.210369788816343,FlexiBO+RF-No Cost,DeepSpeech
86,0.231881458577604,0.266763206769331,FlexiBO+RF-No Cost,DeepSpeech
87,0.229769439992748,0.287428090493946,FlexiBO+RF-No Cost,DeepSpeech
88,0.212543141150959,0.299637458716249,FlexiBO+RF-No Cost,DeepSpeech
89,0.20560903236191,0.303172810086452,FlexiBO+RF-No Cost,DeepSpeech
90,0.193666771555466,0.314769744283298,FlexiBO+RF-No Cost,DeepSpeech
91,0.186425791578274,0.320097860968136,FlexiBO+RF-No Cost,DeepSpeech
92,0.176211868895536,0.33933433449941,FlexiBO+RF-No Cost,DeepSpeech
93,0.159793696702414,0.346716614059208,FlexiBO+RF-No Cost,DeepSpeech
55,0.298455349192708,0.234089520833762,Ratio-FlexiBO+GP,DeepSpeech
56,0.290187466209322,0.245571496689247,Ratio-FlexiBO+GP,DeepSpeech
57,0.254906092372552,0.256322205266532,Ratio-FlexiBO+GP,DeepSpeech
58,0.245966549230788,0.266961939544518,Ratio-FlexiBO+GP,DeepSpeech
59,0.224799208952733,0.270449488847828,Ratio-FlexiBO+GP,DeepSpeech
