,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.342571803255,0.235919279855,0,0.0,FlexiBO+RF-Ratio,ResNet,0.65,0.0
1,0.302693638933,0.285122900737,1,0.0,FlexiBO+RF-Ratio,ResNet,0.497671789987,0.0151268813754
2,0.425878436736,0.292927580327,2,4.15,FlexiBO+RF-Ratio,ResNet,0.469163803553,0.0377219640717
3,0.35483627674,0.353898396749,3,0.0,FlexiBO+RF-Ratio,ResNet,0.469163803553,0.0207155116695
4,0.319578102428,0.332781687938,4,0.0,FlexiBO+RF-Ratio,ResNet,0.469163803553,0.0443909407992
5,0.398963796174,0.27272241084,5,0.0,FlexiBO+RF-Ratio,ResNet,0.469163803553,0.0107160158262
6,0.423487969638,0.277694806793,6,0.0,FlexiBO+RF-Ratio,ResNet,0.469163803553,0.0413292466462
7,0.301796216615,0.237811283718,7,0.0,FlexiBO+RF-Ratio,ResNet,0.469163803553,0.0203646522988
8,0.317124296485,0.405495009546,8,0.0,FlexiBO+RF-Ratio,ResNet,0.466593097951,0.0291517911563
9,0.279788903614,0.326254881596,9,0.0,FlexiBO+RF-Ratio,ResNet,0.466593097951,0.0121626835869
10,0.309799943905,0.272001908555,10,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.013244190797
11,0.326113957066,0.27989448202,11,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0339073538629
12,0.339275591534,0.298802913278,12,4.15,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0399533096786
13,0.369759915473,0.26223644536,13,4.15,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0268695768331
14,0.328398321672,0.320969566412,14,4.15,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0375840618646
15,0.354772460491,0.321502950373,15,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0351192715254
16,0.41095937853,0.33686439855,16,4.15,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0149625027285
17,0.353642164111,0.349400847906,17,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0396442660454
18,0.301949530013,0.337844516138,18,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0179140580912
19,0.434937901618,0.255997582048,19,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.000586003395019
20,0.319430318141,0.35054271924,20,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0244653869316
21,0.351380298368,0.381575084337,21,4.15,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.00892433538753
22,0.40473664377,0.325489121717,22,0.0,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.0122735088466
23,0.277066460615,0.294408382301,23,4.15,FlexiBO+RF-Ratio,ResNet,0.451765778247,0.019241787088
24,0.346936178334,0.36763232444,24,4.15,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0460591957102
25,0.377603449698,0.403471926653,25,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0132735706156
26,0.345738023512,0.298879359671,26,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.046309221855
27,0.371922002554,0.327900032169,27,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.037066160152
28,0.381082748791,0.258145879591,28,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0276902360184
29,0.323485107712,0.396269709581,29,4.15,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0220962887813
30,0.318409827971,0.264337298413,30,4.15,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0262323177122
31,0.341401461652,0.287613082479,31,4.15,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.00637638616271
32,0.324410959618,0.261367283338,32,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0240726205189
33,0.339067262936,0.270229882897,33,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.00325222062548
34,0.3139445717,0.236181666826,34,0.0,FlexiBO+RF-Ratio,ResNet,0.449143989409,0.0371494471986
35,0.350542805758,0.290187909696,35,0.0,FlexiBO+RF-Ratio,ResNet,0.449097337989,0.0187668717702
36,0.286689983056,0.234538156736,36,0.0,FlexiBO+RF-Ratio,ResNet,0.449097337989,0.0327726688584
37,0.305986252914,0.250692155965,37,4.15,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.00119180544854
38,0.31630569527,0.267410376594,38,0.0,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.0195823009921
39,0.389110942306,0.340036165282,39,0.0,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.000231917830926
40,0.288379144688,0.250261224589,40,0.0,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.0263668849368
41,0.306593547841,0.385354452756,41,4.15,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.0240516611388
42,0.335574253474,0.299390023118,42,0.0,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.012798095672
43,0.316050266513,0.23332437346,43,0.0,FlexiBO+RF-Ratio,ResNet,0.447198122844,0.0446662560351
44,0.290446784216,0.387771257822,44,0.0,FlexiBO+RF-Ratio,ResNet,0.446367956096,0.0359400542182
45,0.406290146553,0.296279520126,45,0.0,FlexiBO+RF-Ratio,ResNet,0.446367956096,0.0112379511052
46,0.316347777236,0.328109675693,46,0.0,FlexiBO+RF-Ratio,ResNet,0.446367956096,0.0209689422876
47,0.318070972625,0.303314751724,47,0.0,FlexiBO+RF-Ratio,ResNet,0.446367956096,0.000278504655128
48,0.274158127452,0.260929413681,48,0.0,FlexiBO+RF-Ratio,ResNet,0.446367956096,0.0143171159304
49,0.371673906743,0.393682701853,49,0.0,FlexiBO+RF-Ratio,ResNet,0.443896306994,0.026209239309
50,0.278324838776,0.23381560024,50,0.0,FlexiBO+RF-Ratio,ResNet,0.443896306994,0.0389452794922
51,0.281361942496,0.240380033405,51,4.15,FlexiBO+RF-Ratio,ResNet,0.443648281569,0.00803149570372
52,0.307415882228,0.234068370005,52,0.0,FlexiBO+RF-Ratio,ResNet,0.443648281569,0.00750610990361
53,0.2716371177,0.335032490974,53,4.15,FlexiBO+RF-Ratio,ResNet,0.443648281569,0.00541311026177
54,0.320975681135,0.322010109938,54,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.0024111112741
55,0.288556893296,0.326017571146,55,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.0162519466467
56,0.368502009133,0.407778294099,56,4.15,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.0487398967111
57,0.291267471248,0.267203583806,57,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.0454940033619
58,0.295823874416,0.40480992668,58,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.01809997373
59,0.360805880867,0.260149061369,59,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.000321444453057
60,0.394522940501,0.362813893347,60,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.00438126984881
61,0.294014126913,0.264195193123,61,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.0221803553336
62,0.26931718395,0.234147865519,62,0.0,FlexiBO+RF-Ratio,ResNet,0.441971891994,0.0257872304535
63,0.43826793783,0.31842716715,63,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.045654375806
64,0.302056356669,0.302170004545,64,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0160577351968
65,0.271497230663,0.266259151597,65,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0256344542263
66,0.353400015566,0.244743677444,66,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.041877156369
67,0.427876530882,0.273980063135,67,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0132275490754
68,0.316934160561,0.33856882414,68,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0415449452786
69,0.331053575071,0.313797735143,69,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.00338887766651
70,0.269738509382,0.24657083872,70,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.00126448192481
71,0.275565466574,0.264293768423,71,4.15,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0359509039261
72,0.350691741901,0.311066105869,72,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0254052806888
73,0.296369206901,0.365211737498,73,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.00541307601124
74,0.30865427292,0.236992191713,74,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0242661134147
75,0.331072985104,0.407911051102,75,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.023708023124
76,0.275771527803,0.300785499873,76,4.15,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0487097875368
77,0.283880731553,0.258453833152,77,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0231809088429
78,0.380620300248,0.239512026308,78,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0280063060763
79,0.291440551374,0.255451757488,79,4.15,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0272896546261
80,0.380339858982,0.306466239974,80,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.00664156173192
81,0.180219370867,0.359371899753,81,0.0,FlexiBO+RF-Ratio,ResNet,0.439829243675,0.0184211448728
82,0.273767999348,0.255963687476,82,4.15,FlexiBO+RF-Ratio,ResNet,0.382750680944,0.00207091971524
