,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.294239631504,0.287674311348,0,4.15,FlexiBO+RF-Ratio,ResNet,0.65,0.0
1,0.335639859449,0.26704548649,1,4.15,FlexiBO+RF-Ratio,ResNet,0.497268759488,0.0456729400332
2,0.368176343345,0.261285898362,2,0.0,FlexiBO+RF-Ratio,ResNet,0.483563790506,0.0271590183738
3,0.288685189705,0.35656067552,3,4.15,FlexiBO+RF-Ratio,ResNet,0.479924746474,0.0174157500446
4,0.332735719972,0.244028703826,4,0.0,FlexiBO+RF-Ratio,ResNet,0.476350800195,0.0172000021811
5,0.427404551966,0.252915466094,5,0.0,FlexiBO+RF-Ratio,ResNet,0.464571658329,0.0409858345612
6,0.327115836107,0.242630931606,6,0.0,FlexiBO+RF-Ratio,ResNet,0.464571658329,0.0284091295236
7,0.436477692186,0.339013008852,7,4.15,FlexiBO+RF-Ratio,ResNet,0.463385836292,0.0403086542907
8,0.425431086574,0.244484110768,8,4.15,FlexiBO+RF-Ratio,ResNet,0.463385836292,0.0443572866278
9,0.38837894652,0.326253849579,9,4.15,FlexiBO+RF-Ratio,ResNet,0.463385836292,0.0133019740736
10,0.334580857842,0.321899531919,10,4.15,FlexiBO+RF-Ratio,ResNet,0.463385836292,0.010412726553
11,0.278134026613,0.397561296663,11,0.0,FlexiBO+RF-Ratio,ResNet,0.463385836292,0.033709044099
12,0.404209746863,0.280606733076,12,4.15,FlexiBO+RF-Ratio,ResNet,0.45702940728,0.00908803480508
13,0.274667173961,0.33325441347,13,0.0,FlexiBO+RF-Ratio,ResNet,0.45702940728,0.00100329320377
14,0.339904266573,0.2758714825,14,0.0,FlexiBO+RF-Ratio,ResNet,0.453909932887,0.0248047324306
15,0.270291480155,0.414606761344,15,0.0,FlexiBO+RF-Ratio,ResNet,0.453909932887,0.00696697329764
16,0.319564296374,0.266464810323,16,0.0,FlexiBO+RF-Ratio,ResNet,0.451348431318,0.00834811558107
17,0.308920080681,0.334992167282,17,0.0,FlexiBO+RF-Ratio,ResNet,0.451188266929,0.0102315483994
18,0.350207129486,0.271717416544,18,4.15,FlexiBO+RF-Ratio,ResNet,0.451188266929,0.00700561166999
