,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.283028670737,0.287985917081,0,0.0,FlexiBO+RF-Ratio,ResNet,0.65,0.0
1,0.279412251976,0.270669632335,1,4.15,FlexiBO+RF-Ratio,ResNet,0.489506316516,0.00791688258855
2,0.333846681369,0.264311062584,2,0.0,FlexiBO+RF-Ratio,ResNet,0.474453472799,0.00878961422242
3,0.412809140233,0.33710064597,3,4.15,FlexiBO+RF-Ratio,ResNet,0.470217690457,0.020302239716
4,0.342271224071,0.431932992549,4,0.0,FlexiBO+RF-Ratio,ResNet,0.470217690457,0.028606355417
5,0.391813889546,0.414036592214,5,4.15,FlexiBO+RF-Ratio,ResNet,0.470217690457,0.0154410946696
6,0.294325528259,0.344736681817,6,0.0,FlexiBO+RF-Ratio,ResNet,0.470217690457,0.00147422821382
7,0.299806957716,0.328206059364,7,0.0,FlexiBO+RF-Ratio,ResNet,0.470217690457,0.0115551326241
8,0.26976566238,0.341722696569,8,4.15,FlexiBO+RF-Ratio,ResNet,0.470217690457,0.0307970263983
9,0.403608863535,0.269509909096,9,4.15,FlexiBO+RF-Ratio,ResNet,0.463867559471,0.022085931972
10,0.327012188318,0.325734460493,10,0.0,FlexiBO+RF-Ratio,ResNet,0.463867559471,0.0063000466339
11,0.305329228453,0.264948660859,11,0.0,FlexiBO+RF-Ratio,ResNet,0.463867559471,0.0363509121695
12,0.310750704902,0.233346843328,12,0.0,FlexiBO+RF-Ratio,ResNet,0.463704411936,0.0464340782611
13,0.339593665708,0.32033951094,13,0.0,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.0118315960819
14,0.331727394632,0.241315179922,14,4.15,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.00200428924135
15,0.390940907022,0.354675329297,15,0.0,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.0426073865581
16,0.435045459625,0.244602944151,16,4.15,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.048013926846
17,0.322566478739,0.304312653223,17,4.15,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.0247993813733
18,0.301952221845,0.326406401205,18,0.0,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.028043987559
19,0.328183112657,0.386552630374,19,0.0,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.0344218019612
20,0.3511533166,0.342194827809,20,0.0,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.00758518686099
21,0.303665882385,0.260273993501,21,4.15,FlexiBO+RF-Ratio,ResNet,0.442347619686,0.00368567078807
22,0.344714299768,0.356009182487,22,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0150605804274
23,0.315723675345,0.284836095807,23,4.15,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0265335603452
24,0.28079810023,0.342695364556,24,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0118402948641
25,0.297962647446,0.29638309129,25,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.036294694775
26,0.415784453234,0.265963909396,26,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0191996881381
27,0.412709672035,0.31788587479,27,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0175310538255
28,0.362459901966,0.287153469116,28,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0270197669678
29,0.333512596355,0.388324909445,29,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0180447432268
30,0.301285551166,0.328247962745,30,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0115292016257
31,0.324647030038,0.278685340854,31,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.00798191038969
32,0.345476995693,0.389086148247,32,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0279095340495
33,0.298236214925,0.277044705319,33,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0339100293733
34,0.297205485267,0.262302120332,34,0.0,FlexiBO+RF-Ratio,ResNet,0.442304984542,0.0152867154732
35,0.300081067116,0.233218633874,35,4.15,FlexiBO+RF-Ratio,ResNet,0.442250927092,0.0357877008522
36,0.31065931261,0.362403841034,36,0.0,FlexiBO+RF-Ratio,ResNet,0.441866617468,0.0382262783805
37,0.33104840707,0.294162504009,37,0.0,FlexiBO+RF-Ratio,ResNet,0.441866617468,0.0332588425405
38,0.284396681926,0.252723561548,38,0.0,FlexiBO+RF-Ratio,ResNet,0.441866617468,0.012593813408
39,0.324844571466,0.41847796964,39,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0127511241707
40,0.409479612227,0.339599059134,40,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.044457510365
41,0.332460773832,0.260105353846,41,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0473357734962
42,0.312678063063,0.30058695969,42,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0070236288947
43,0.325688514186,0.261890136752,43,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0492615144911
44,0.333667860306,0.298799513495,44,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0266165931587
45,0.337652663096,0.278912210528,45,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00873677651261
46,0.305084705058,0.253971755802,46,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0158228000503
47,0.324671659122,0.397848696366,47,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0157274856264
48,0.315120540435,0.362468533526,48,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0205802219289
49,0.409702446028,0.290198926497,49,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.027716951748
50,0.325341608056,0.346995890484,50,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00816248092437
51,0.300618258697,0.288466506356,51,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0452554198073
52,0.325282284172,0.305398094801,52,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00960108046886
53,0.378371330517,0.292349528988,53,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.043512780571
54,0.352272622013,0.281058316037,54,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0209090243941
55,0.29853609408,0.373716818723,55,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0490825663557
56,0.313183932505,0.401598149155,56,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0413121025765
57,0.357259679285,0.287850523147,57,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0366763359073
58,0.305714172158,0.292723199991,58,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0310453526845
59,0.412525948552,0.252519033032,59,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0306481488342
60,0.416057761096,0.234569010276,60,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0437450583355
61,0.336969683312,0.292753924469,61,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0116547413932
62,0.358778052199,0.351811564786,62,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0442385840026
63,0.286207445911,0.26152375897,63,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.019558681783
64,0.328291143061,0.260150807302,64,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00491588960721
65,0.36309993633,0.235692615855,65,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00538340595274
66,0.287559143623,0.25446870914,66,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00894078893589
67,0.402847870579,0.286871246526,67,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0395341259451
68,0.375180475388,0.28019490498,68,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0387503881152
69,0.30276400246,0.293311209253,69,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.00449364454701
70,0.283630550101,0.405482777497,70,4.15,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.018046215233
71,0.339464397408,0.289741680291,71,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.027464956987
72,0.292384369678,0.366373927359,72,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0450069686073
73,0.441144010461,0.237059992719,73,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0241156626847
74,0.430976221364,0.242438402295,74,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.023023370344
75,0.332423278084,0.286666900479,75,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0103644753764
76,0.34220000958,0.281776220163,76,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0232274601288
77,0.294425905746,0.260487590029,77,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0144575515028
78,0.270008150877,0.251260960419,78,0.0,FlexiBO+RF-Ratio,ResNet,0.441609205847,0.0467115163469
79,0.318008589746,0.266783557024,79,0.0,FlexiBO+RF-Ratio,ResNet,0.44063881337,0.0117727676039
80,0.31248840765,0.282986922689,80,4.15,FlexiBO+RF-Ratio,ResNet,0.44063881337,0.0277337343775
81,0.2699330724,0.245158214258,81,0.0,FlexiBO+RF-Ratio,ResNet,0.44063881337,0.0246622280664
82,0.279840487676,0.361205186148,82,0.0,FlexiBO+RF-Ratio,ResNet,0.440448036081,0.0426612326648
83,0.374128908496,0.244922264696,83,0.0,FlexiBO+RF-Ratio,ResNet,0.440448036081,0.00652474864678
84,0.29893980247,0.234097921766,84,0.0,FlexiBO+RF-Ratio,ResNet,0.440448036081,0.0399551753513
85,0.316310496173,0.34899186356,85,0.0,FlexiBO+RF-Ratio,ResNet,0.44043541336,0.0184226372828
86,0.307712190224,0.27599647066,86,4.15,FlexiBO+RF-Ratio,ResNet,0.44043541336,0.0246317896584
87,0.317455810014,0.369043712983,87,0.0,FlexiBO+RF-Ratio,ResNet,0.44043541336,0.0310769448055
88,0.310787981462,0.283419113296,88,0.0,FlexiBO+RF-Ratio,ResNet,0.44043541336,0.0149765012329
89,0.281890092399,0.365506852181,89,0.0,FlexiBO+RF-Ratio,ResNet,0.44043541336,0.0142191085902
90,0.248220915987,0.25230192882,90,0.0,FlexiBO+RF-Ratio,ResNet,0.44043541336,0.0461763107326
91,0.333009515623,0.240083018377,91,0.0,FlexiBO+RF-Ratio,ResNet,0.424311478106,0.031132765846
92,0.269820337441,0.355598041623,92,0.0,FlexiBO+RF-Ratio,ResNet,0.424311478106,0.0350617699668
93,0.30579014546,0.331867542412,93,0.0,FlexiBO+RF-Ratio,ResNet,0.424311478106,0.0379904628866
94,0.293708674516,0.209250247221,94,0.0,FlexiBO+RF-Ratio,ResNet,0.424311478106,0.0155441930328
95,0.388147034566,0.241025974289,95,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0364568266649
96,0.280947984247,0.263934775505,96,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.00943991609293
97,0.34620362885,0.286547082148,97,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0196503058831
98,0.341134766596,0.233532724674,98,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0117592492566
99,0.334392335043,0.418281881434,99,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0307638401404
100,0.341993161891,0.234694442544,100,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0459371000109
101,0.312373071236,0.23694820954,101,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0260551078124
102,0.331458541622,0.406225480985,102,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.012761620399
103,0.386414428892,0.349452474052,103,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0234184134682
104,0.341539415834,0.303752783866,104,4.15,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.017928769361
105,0.312592385705,0.251806199508,105,0.0,FlexiBO+RF-Ratio,ResNet,0.407319353554,0.0448647361697
